ticker,company_name,current_yield,avg_yield_5y,yield_gap_ratio,market_cap,equity_ratio,consecutive_no_cut_years,per,pbr,payout_ratio,last_updated,data_quality_flag,y1_fiscal_year,y1_dividend_per_share,y1_yield,y1_is_missing,y2_fiscal_year,y2_dividend_per_share,y2_yield,y2_is_missing,y3_fiscal_year,y3_dividend_per_share,y3_yield,y3_is_missing,y4_fiscal_year,y4_dividend_per_share,y4_yield,y4_is_missing,y5_fiscal_year,y5_dividend_per_share,y5_yield,y5_is_missing
4073.T,ジィ・シィ企画,0.0,0.002789400278940028,-1.0,1660169856.0,17.752144569825113,0,23.320158,4.6513963,0.0,2026-09-24,,2021,0.0,0.0,True,2022,10.0,0.01394700139470014,False,2023,0.0,0.0,True,2024,0.0,0.0,True,2025,0.0,0.0,True
4074.T,ラキール,0.0,0.0,0.0,5202052608.0,61.500520666781455,0,,1.5238551,0.0,2026-09-24,no_dividend_history,2021,0.0,0.0,True,2022,0.0,0.0,True,2023,0.0,0.0,True,2024,0.0,0.0,True,2025,0.0,0.0,True
4075.T,ブレインズテクノロジー,0.0,0.0,0.0,8999135232.0,83.67783363591316,0,47.350586,4.867297,0.0,2026-09-24,no_dividend_history,2021,0.0,0.0,True,2022,0.0,0.0,True,2023,0.0,0.0,True,2024,0.0,0.0,True,2025,0.0,0.0,True
4076.T,シイエヌエス,0.037481259370314844,0.029575344692472305,0.26731437148236514,5814830080.0,73.97488400937897,3,9.844534,1.3422972,27.05,2026-09-24,,2021,0.0,0.0,True,2022,45.0,0.039349583325016306,False,2023,45.0,0.02672111402922274,False,2024,48.0,0.03642245962755012,False,2025,75.0,0.045383566480572374,False
4078.T,堺化学工業,0.03691275167785235,0.038621655447118625,-0.044247294671408643,57758466048.0,66.29299754299754,2,23.617804,0.7601498,92.03,2026-09-24,,2021,35.0,0.018404737062988594,False,2022,80.0,0.05188331542428995,False,2023,65.0,0.038725764669852454,False,2024,97.5,0.03988923386221993,False,2025,137.5,0.044205226216242205,False
407A.T,ＵＮＩＣＯＮホールディングス,0.016251354279523293,0.0027221798173893193,4.969978241595002,9132992512.0,30.24079539460413,0,inf,2.3448,14.92,2026-09-24,,2021,0.0,0.0,True,2022,0.0,0.0,True,2023,0.0,0.0,True,2024,0.0,0.0,True,2025,15.0,0.013610899086946597,False
4082.T,第一稀元素化学工業,0.012058570198105082,0.028953628225879526,-0.5835212739477393,56081678336.0,57.4710753684714,1,22.369942,1.4396161,26.96,2026-09-24,,2021,23.0,0.021026320955156698,False,2022,28.0,0.0302097439383878,False,2023,28.0,0.030493024356425508,False,2024,26.0,0.03811817633289549,False,2025,28.0,0.02492087554653211,False
4088.T,エア・ウォーター,0.027159244264507422,0.036311684850911616,-0.25205221470670536,679538196480.0,32.08362828838917,9,16.983727,1.741097,42.970002,2026-09-24,,2021,49.0,0.03212111997567358,False,2022,57.0,0.041814418964638576,False,2023,62.0,0.03499382876047034,False,2024,66.0,0.03633592097646873,False,2025,80.5,0.03629313557730684,False
4091.T,日本酸素ホールディングス,0.010053859964093357,0.013229669359671075,-0.2400520609576804,2410992893952.0,43.984761238568495,9,19.47008,1.9022918,21.66,2026-09-24,,2021,30.0,0.01261944466638473,False,2022,36.0,0.019559201682778974,False,2023,40.0,0.010872696478497923,False,2024,48.0,0.011032666024486135,False,2025,56.0,0.01206433794620762,False
4092.T,日本化学工業,0.018466898954703832,0.04037603445930707,-0.5426272242432408,49706397696.0,64.1370432211275,2,17.330917,0.89186746,36.21,2026-09-24,,2021,70.0,0.03035041112041096,False,2022,85.0,0.05532657753487647,False,2023,70.0,0.04096009654879901,False,2024,81.0,0.03620425785450793,False,2025,106.0,0.03903882923794097,False
